date,species,band,rbc,whole,hb
4-Jan-17,AMRE,2520-78784,7.25,15.59,
5-Jan-17,AMRE,2770-43275,26.25,59.57,
5-Jan-17,SWWA,2631-02727,4.72,13.8,
6-Jan-17,AMRE,2520-76788,NA,,
6-Jan-17,SWWA,2631-02514,18.97,44.41,
6-Jan-17,SWWA,2631-02898,19.41,42.4,
7-Jan-17,AMRE,2550-40201,8.5,19.43,
8-Jan-17,SWWA,2631-02722,19.82,51.13,
10-Jan-17,SWWA,2401-30459,12.92,31.92,
12-Jan-17,SWWA,2631-02506,6.68,17.21,
15-Jan-17,AMRE,2570-44914,12.76,26.48,
16-Jan-17,AMRE,2670-21568,4.3,9.56,
16-Jan-17,AMRE,2670-14412,NA,,
17-Jan-17,AMRE,2670-21570,9.71,17.26,
17-Jan-17,AMRE,2670-21573,14,30.53,
17-Jan-17,AMRE,2670-21574,12.39,28.38,
17-Jan-17,AMRE,2670-21575,10.93,27.08,
17-Jan-17,SWWA,2401-30461,15.3,32.66,
17-Jan-17,SWWA,2631-02702,11.65,25.55,
18-Jan-17,AMRE,2670-21579,25.1,51.34,
18-Jan-17,AMRE,2670-21580,22.25,46.66,
18-Jan-17,AMRE,2670-21581,18.74,41.72,
19-Jan-17,AMRE,2670-21586,18.3,43.54,
19-Jan-17,AMRE,2670-21772,11.75,25.87,
19-Jan-17,SWWA,2711-54303,12.82,30.54,
19-Jan-17,SWWA,2401-30463,16.38,40.4,
20-Jan-17,SWWA,2631-03077,20.01,46.7,
21-Jan-17,AMRE,2770-43315,14.85,34.54,
21-Jan-17,AMRE,2670-21592,14.47,29.05,
21-Jan-17,AMRE,2670-21953,15.79,37.93,
21-Jan-17,AMRE,2670-21594,4.28,9.92,
21-Jan-17,SWWA,2631-02726,15.94,37.69,
22-Jan-17,AMRE,2570-44909,14.95,32.05,
22-Jan-17,AMRE,2670-21596,10.69,24.9,
22-Jan-17,SWWA,2401-59546,7.33,15.62,
25-Jan-17,AMRE,2570-44914,7.81,17.28,
27-Jan-17,AMRE,2670-12371,18.73,41.43,
28-Jan-17,SWWA,2521-45081,12.9,30.89,
28-Jan-17,AMRE,2670-12372,13.19,29.15,
28-Jan-17,AMRE,2670-12373,14.24,30.89,
29-Jan-17,AMRE,2670-21598,14.4,32.56,
30-Jan-17,AMRE,2670-21750,5.87,12.2,
1-Feb-17,AMRE,2570-44919,15.33,33.26,
1-Feb-17,AMRE,2550-39486,13.8,32.3,
1-Feb-17,AMRE,2670-21600,12.71,25.86,
1-Feb-17,AMRE,Escaped,2.84,6.81,
2-Feb-17,SWWA,2631-02728,19.94,49.27,
2-Feb-17,AMRE,2550-39489,16.57,37.22,
2-Feb-17,AMRE,2570-44395,9.87,21.26,
2-Feb-17,AMRE,2550-39490,8.89,15.5,
5-Feb-17,AMRE,2570-44402,18.03,41.76,
5-Feb-17,AMRE,2570-44985,8.38,18.96,
5-Feb-17,SWWA,2521-45197,18.06,42.34,
7-Feb-17,AMRE,2680-14276,15.04,35.41,
8-Feb-17,AMRE,2570-44986,13.07,25.61,
10-Feb-17,AMRE,2570-44988,11.94,26.44,
10-Feb-17,AMRE,2570-44990,10.89,25.98,
10-Feb-17,AMRE,2570-44991,17.38,39.3,
13-Feb-17,AMRE,2680-14497,11.31,26.6,
13-Feb-17,AMRE,2550-39500,10.83,27.62,
14-Feb-17,AMRE,2570-44992,10.66,25.3,
14-Feb-17,AMRE,2570-44994,18.96,42.26,
15-Feb-17,AMRE,2570-44995,6.01,14.08,
15-Feb-17,AMRE,2570-44996,3.47,8.36,
15-Feb-17,AMRE,2570-44998,16.92,35.33,
15-Feb-17,AMRE,2570-44999,12.38,28.12,
15-Feb-17,AMRE,2670-12375,3.08,7.31,
17-Feb-17,AMRE,2550-39494,21.59,50.09,
17-Feb-17,AMRE,2680-14265,16.13,35.79,
17-Feb-17,AMRE,2670-12378,15.08,31.13,
18-Feb-17,AMRE,2670-12379,21.92,46.5,
18-Feb-17,AMRE,2670-12380,13.54,28.09,
25-Feb-17,AMRE,2670-12381,12.66,29.56,
28-Feb-17,AMRE,2670-21401,20.15,47.02,
2-Mar-17,AMRE,2670-12382,9.64,22.38,
2-Mar-17,AMRE,2670-12383,18.42,42.75,
2-Mar-17,AMRE,2670-12384,13.21,29.09,
8-Mar-17,AMRE,2570-44996,12.7,30.29,
8-Mar-17,AMRE,2570-44995,13.88,29.87,
8-Mar-17,AMRE,2550-39491,7.09,12.07,
10-Mar-17,AMRE,2670-21403,8.6,20.39,
10-Mar-17,AMRE,2680-14232,10.45,19.36,
15-Mar-17,AMRE,2670-12387,17.67,40.81,
16-Mar-17,AMRE,2570-44978,10.36,28.11,10.34
16-Mar-17,AMRE,2670-12395,22.69,46.65,16.25
16-Mar-17,AMRE,2530-12052,5.78,15.94,
11-Mar-17,AMRE,2770-40615,Whole Blood,,
11-Mar-17,AMRE,2670-21404,Whole Blood,,
18-Mar-17,SWWA,2521-45164,14.77,35.42,
18-Mar-17,AMRE,2670-21412,13.74,29.88,
18-Mar-17,AMRE,2660-67657,17.89,37.57,16.05
19-Mar-17,AMRE,2670-12399,8.19,19.63,
19-Mar-17,AMRE,2570-44989,4.34,10.31,
19-Mar-17,AMRE,2670-12400,13.61,32.21,
19-Mar-17,AMRE,2670-21413,16.74,36.95,13.6
